time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-05 00:00:00+00:00,3,3,64,27
2023-03-06 00:00:00+00:00,6,6,205,77
2023-03-07 00:00:00+00:00,5,5,191,73
2023-03-08 00:00:00+00:00,6,6,203,75
2023-03-09 00:00:00+00:00,6,6,207,72
2023-03-10 00:00:00+00:00,4,4,116,63
2023-03-11 00:00:00+00:00,4,4,35,18
2023-03-12 00:00:00+00:00,6,5,38,20
2023-03-13 00:00:00+00:00,4,4,169,79
2023-03-14 00:00:00+00:00,5,5,192,74
2023-03-15 00:00:00+00:00,4,4,170,76
2023-03-16 00:00:00+00:00,3,3,124,61
2023-03-17 00:00:00+00:00,5,4,91,51
2023-03-18 00:00:00+00:00,2,2,31,13
