time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-26 00:00:00+00:00,15,6,99,60
2026-03-27 00:00:00+00:00,23,8,57,38
2026-03-28 00:00:00+00:00,18,9,28,14
2026-03-29 00:00:00+00:00,12,8,36,19
2026-03-30 00:00:00+00:00,25,17,144,47
2026-03-31 00:00:00+00:00,19,10,143,66
2026-04-01 00:00:00+00:00,21,13,120,56
2026-04-02 00:00:00+00:00,3,3,128,78
2026-04-03 00:00:00+00:00,22,11,85,33
2026-04-04 00:00:00+00:00,26,13,67,18
2026-04-05 00:00:00+00:00,32,15,127,29
2026-04-06 00:00:00+00:00,15,10,169,51
2026-04-07 00:00:00+00:00,18,9,120,46
2026-04-08 00:00:00+00:00,16,7,112,47
