time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-06 00:00:00+00:00,3,3,800,80
2025-01-07 00:00:00+00:00,3,3,372,69
2025-01-08 00:00:00+00:00,3,3,249,78
2025-01-09 00:00:00+00:00,2,2,323,88
2025-01-10 00:00:00+00:00,4,2,359,62
2025-01-11 00:00:00+00:00,4,4,1289,17
2025-01-12 00:00:00+00:00,4,4,1828,22
2025-01-13 00:00:00+00:00,1,1,612,67
2025-01-14 00:00:00+00:00,4,3,411,95
2025-01-15 00:00:00+00:00,3,3,261,114
2025-01-16 00:00:00+00:00,1,1,410,71
2025-01-17 00:00:00+00:00,4,3,391,71
2025-01-18 00:00:00+00:00,6,4,973,20
2025-01-19 00:00:00+00:00,1,1,1651,16
