time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-02 00:00:00+00:00,8,5,244,104
2023-02-03 00:00:00+00:00,10,7,182,61
2023-02-04 00:00:00+00:00,3,3,60,25
2023-02-05 00:00:00+00:00,8,4,40,13
2023-02-06 00:00:00+00:00,4,4,276,78
2023-02-07 00:00:00+00:00,10,4,330,121
2023-02-08 00:00:00+00:00,9,6,139,78
2023-02-09 00:00:00+00:00,5,5,151,70
2023-02-10 00:00:00+00:00,13,7,166,74
2023-02-11 00:00:00+00:00,5,5,60,21
2023-02-12 00:00:00+00:00,4,4,110,39
2023-02-13 00:00:00+00:00,7,7,182,70
2023-02-14 00:00:00+00:00,5,5,147,67
2023-02-15 00:00:00+00:00,2,2,108,62
